23	PAK2	21
23	ROBO1	6
23	NTN4	9
23	RRAS	31
23	EPHB2	1
23	APEX1	66
23	BCL2L1	14
23	CDK2	11
23	POLR2E	7
23	PRPF19	33
23	CDKN2B	2
23	CCNK	2
23	ELMO1	4
23	ADCY1	0.5
23	PDGFRA	15
23	LIG3	3
23	GLI1	2
23	POLR2G	19
23	CCNB2	1
23	DPYSL2	16
23	HAUS8	0.7
23	PSMA4	14
23	LIN9	2
23	NLRC4	0.8
23	ARHGAP6	7
23	TDP1	2
23	KDM4A	11
23	KAT5	13
23	GRB2	34
23	ARHGEF4	1
23	CDC6	1
23	HHAT	0.9
23	INTU	2
23	FGD2	0.9
23	CHL1	2
23	FANCA	0.7
23	ARHGEF5	0.9
23	AURKA	1
23	HSP90AA1	185
23	LYN	5
23	S100B	1
23	CUL5	9
23	TIAM2	0.9
23	NCK2	9
23	PPP2R3B	0.6
23	RPS6KA5	0.8
23	GTF2H2	1
23	ROBO3	1
23	HSPA1A	20
23	ACTN2	0.5
23	GNG3	0.6
23	CBX2	0.5
23	PSMB3	40
23	CHD1L	14
23	SEMA6D	2
23	STRAP	48
23	HIST1H4E	0.7
23	CEP152	1
23	MYH10	16
23	CDK6	3
23	KALRN	2
23	SPRED1	9
23	CLSPN	0.7
23	ACTG1	511
23	SOS1	11
23	USP8	4
23	ABL1	32
23	APAF1	4
23	ALKBH5	29
23	PFN1	276
23	PTPN11	34
23	ARHGAP28	0.6
23	UBE2D3	23
23	DBF4	2
23	NCBP2	14
23	PRKDC	11
23	SOCS3	85
23	CRMP1	11
23	UBA52	54
23	PLXNC1	4
23	MAPK3	17
23	DNM1	2
23	ACTB	1959
23	RASAL3	0.6
23	RTEL1	0.5
23	MMP2	159
23	PRR5	0.5
23	KIT	7
23	ALKBH3	6
23	HNRNPF	48
23	PMAIP1	1
23	HGF	2
23	SCUBE2	5
23	PSMD10	17
23	APH1B	4
23	CDK1	2
23	NEIL1	2
23	SP1	22
23	PLXNB3	2
23	PSMC2	24
23	TGIF1	4
23	PTBP1	16
23	SH3GL2	1
23	DOK1	3
23	UNC5B	4
23	AKT3	15
23	CEP72	0.7
23	PCNA	32
23	SUMO3	20
23	KIAA0101	1
23	BAZ1B	21
23	FGF10	0.8
23	POLE2	1
23	CNTRL	4
23	MET	4
23	PPP1CC	25
23	MYL12B	110
23	XRCC4	2
23	POLD4	1
23	VAV2	5
23	PSMB8	23
23	GLI3	8
23	SEMA6A	3
23	BTC	3
23	PLEKHG5	2
23	CDK9	16
23	REV1	9
23	COPS7A	20
23	SYDE2	3
23	PSMD8	29
23	TRIO	9
23	RHOA	198
23	CDKN1A	73
23	PSMC3	38
23	FANCG	4
23	NPLOC4	11
23	MTMR4	8
23	UBA7	19
23	POLR2B	23
23	CBL	7
23	HIF1A	32
23	ERCC8	2
23	KL	1
23	HIST4H4	0.5
23	MMP9	0.6
23	PIK3AP1	3
23	HNRNPM	25
23	MUTYH	2
23	SERPINE1	47
23	MDC1	7
23	CASP7	10
23	ADCY2	1
23	DZIP1	6
23	SMO	7
23	SMARCA5	16
23	CD28	1
23	FANCM	1
23	GPC1	6
23	MRE11	4
23	KHDRBS3	2
23	UNC5C	1
23	PRKAA2	3
23	CFL1	99
23	CASP9	4
23	PARP1	23
23	TP53	15
23	TGFBR1	16
23	BAP1	13
23	PTCH1	1
23	SKI	15
23	FGFRL1	3
23	UBE2B	19
9	GEN1	2
9	POLE	2
9	WDR19	6
9	PAK1	14
9	FGD3	4
9	HNRNPH1	57
9	CCND2	8
9	BAMBI	4
9	COPS3	13
9	ORC1	0.5
9	MSH6	4
9	ITGB1	213
9	FGF18	0.6
9	CDKN1B	20
9	EYA2	0.9
9	PKN3	2
9	FGFR1	21
9	XRCC5	60
9	EPHA10	0.5
9	EGFR	8
9	FAAP20	0.9
9	RHOG	19
9	HIST1H2BH	0.8
9	TDG	8
9	GRB7	5
9	HIST1H2BK	4
9	DTL	0.9
9	CNTN1	9
9	MSH3	6
9	PSMD7	21
9	GAB1	6
9	BABAM1	8
9	RAD23B	33
9	RHOH	2
9	LIN37	1
9	ASCC3	5
9	PSMC5	20
9	RMI2	0.9
9	MPG	7
9	MCF2L	2
9	CDC45	0.6
9	ITCH	15
9	CENPX	5
9	RAD23A	23
9	FANCC	2
9	E2F1	0.8
9	YY1	12
9	ITGB3	2
9	WASL	32
9	EPHB3	2
9	PITPNA	25
9	TP53BP2	13
9	EIF4G1	35
9	LIG1	2
9	YWHAZ	115
9	HNRNPD	22
9	ZFYVE9	6
9	FGF2	8
9	BAK1	10
9	ARHGEF35	5
9	DOCK1	14
9	VAV3	2
9	ROCK2	13
9	TYROBP	35
9	CXCL12	110
9	RPS27A	97
9	PAK5	0.9
9	DEPDC7	2
9	RAD18	2
9	MAPK8	6
9	RPA1	13
9	AKT2	6
9	ARHGEF38	2
9	TOP2A	2
9	PAK3	0.6
9	NTN1	6
9	EPHA4	2
9	PXN	17
9	NRP1	20
9	SMUG1	4
9	MYO10	4
9	RFC5	4
9	VAV1	4
9	FLRT2	2
9	SFN	16
9	HAUS7	1
9	RFC1	10
9	NGEF	1
9	MYH11	151
9	PSME1	60
9	BAX	9
9	NEIL2	3
9	KRAS	12
9	SHB	5
9	JUNB	76
9	PTK2	9
9	BORA	1
9	UBE2N	14
9	RHOD	5
9	FLRT3	4
9	EPHA3	12
9	MEMO1	1
9	FBXL7	8
9	LCK	5
9	HSPA8	252
9	TAB2	22
9	DIAPH1	21
9	EZR	105
9	BUB1B	0.6
9	H2BFS	4
9	TNFRSF10A	6
9	XRCC6	66
9	CENPF	0.9
9	IFT140	3
9	PRKCZ	1
9	KDR	14
9	TNPO1	18
9	FAAP24	1
9	COPS6	21
9	RBX1	8
9	MBD4	15
9	EFNA1	17
9	HIST1H2BC	2
9	EFNA5	2
9	POLB	4
9	TNFSF13	13
9	TIAM1	3
9	ASCC2	9
9	FAN1	4
9	ARHGAP22	0.9
9	TFDP2	7
9	BRCA2	0.5
9	SEMA3A	3
9	RBFOX2	16
9	TRPC3	0.8
